claim_id,claim,source,url_or_path,status,limitation,scope,next_check
R11,"Historical Munshiganj CSV had 4 institutions;234 teachers;36210 students;TSR154.74 from duplicated Master's Urban and Total rows9-10; current record uses full district total row1100","Earlier worksheet audit and current regression test","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District rows 9-10;1100; src/test_summaries.py:99-102","Resolved; historical incomplete duplicated selection replaced","Correction uses the appended district total rather than halving the former subset","Munshiganj college record","Retain regression check and compare publication when available"
R12,"Historical college selection admitted 283 detail-plus-Total overlapping groups across 39 districts; 27 district records exactly doubled appended totals","Earlier aggregation audit and current college parser","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District; src/generate_summaries.py:233-266","Resolved by one appended total per district","Historical audit counts describe the former extraction; not current downloads","College aggregation history","Retain uniqueness and division/national reconciliation checks"
R13,"School workbook includes Upgrade Govt. Primary records; college workbook spans several education levels","Workbook coverage and current block extraction","data/BANBEIS_2024_District_Education_Stats.xlsx; src/generate_summaries.py:163-275","Workbook coverage retained; publication definitions still to compare","Not a primary-school census or all education; college mix is not a harmonised secondary indicator","Education coverage","Verify category and management definitions against the publication"
R14,"Historical parser converted blank or unparseable counts to zero; current parser rejects missing; invalid; fractional and negative counts","Current integer parser and regression tests","src/generate_summaries.py:97-135; src/test_summaries.py:128-141","Resolved; strict count validation applied","Validation establishes valid count fields; not independent accuracy of reported values","Workbook parsing history and current safeguards","Retain invalid-input regression tests"
R15,"Four original map names were aligned to CSV names: Chapainababganj to Chapainawabganj; Jashore to Jessore; Moulvibazar to Maulvibazar; Netrakona to Netrokona","Existing geography name alignment","data/bgd_admin_boundaries.geojson/bgd_admin2.geojson; data/district_name_check.csv","Name alignment documented","Matching names does not validate boundaries or change education counts","District geography join","Confirm joins when either dataset changes"
R16,"District boundary provider; version; licence and required attribution remain outstanding","Local district boundary file","data/bgd_admin_boundaries.geojson/bgd_admin2.geojson; limitations.html#geography","Outstanding geography provenance and rights","Local possession and matching district names do not establish redistribution rights","Geography licensing","Identify provider and applicable licence before public redistribution"
R17,"No universal 1:30 threshold or guaranteed learning outcome is applied; no applicable staffing policy has been verified for shortage estimates","Project interpretation policy","limitations.html#interpretation","Thresholds and vacancy estimates not applied","Ratios alone cannot establish vacancies; recommended appointments; actual class size or quality","Staffing claims","Obtain applicable policy; authorised posts; subjects; grades and available staff information"
R18,"Tasrik recalls his mother's primary-school classes of around 50 and sometimes two classes of around 100 combined","User-supplied personal account","Examples/story.md; story.html","Personal recollection edited for clarity","Approximate memories; not independently measured or substantiated by secondary-school and college data; no outside testimony added","Story page","Keep the account separate from dataset evidence without inventing details"
R19,"Earlier editorial edition retained flagged summaries; current summaries have been regenerated with corrected extraction while the source workbook remains unchanged","Current generation and source-preservation test","src/generate_summaries.py; src/test_summaries.py:226-227; limitations.html#corrections","Earlier unchanged-summary policy superseded; corrections documented","Workbook preservation is not a claim that old CSV values remain in current downloads","Reproducibility and correction history","Keep correction evidence and regression expectations available"
R20,"Historical Narayanganj overlap: row13 Rural 12 institutions;136 teachers;1790 students plus row14 Urban 14;140;3203 equals row15 Total 26;276;4993; former selection added all three","Earlier local worksheet audit","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District rows 13-15;1101","Resolved by appended district-total selection; history retained","Counts are in institutions;teachers;students order; detail rows are not added by current extraction","Narayanganj overlap example","Keep district-total selection mutually exclusive"
R21,"Historical Narayanganj CSV 112 institutions;2342 teachers;172668 students exactly doubled district references; current record is 56;1171;86334 from appended row1101","Earlier worksheet audit and current district mapping","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District rows 39;1101; src/test_summaries.py:39-46","Resolved; corrected district total used","Equal duplication can preserve a ratio while inflating counts; corrected totals agree with workbook not independently with PDF","Narayanganj correction history","Retain mapping and aggregate checks"
R22,"Current Munshiganj college record is 29 institutions;2 girls institutions;621 teachers;189 female teachers;35707 students;20607 girl students;TSR57.50","Appended district total and regression test","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District row 1100; src/test_summaries.py:99-102","Corrected and regression-tested; former conflicting-reference status superseded","The earlier duplicated subset is not current data; original publication comparison remains separate","Munshiganj current district total","Retain all-six-count regression check"
R23,"Historical college national counts 7574 institutions;209064 teachers;7390582 students disagreed with row1146; corrected counts are 4876;132789;4926266","Workbook national total and current summary","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District row 1146; data/college_summary.csv","Resolved; all six counts now reconcile nationally and by division","Agreement with workbook does not certify the original publication","College national correction history","Retain national and division comparisons"
R24,"Historical school whitelist omitted Chandpur row128 College (School Section) with 1 institution;14 teachers;1557 students; current block122-135 supplies the complete closing district total","Earlier audit and current district mapping","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District rows 122-135; src/test_summaries.py:103-117","Resolved by block-total extraction; history retained","Omitted detail is not added separately to the district total","Chandpur school correction history","Retain district mapping and count regression"
R25,"Historical school whitelist omitted Naogaon row695 School with 10 institutions;212 teachers;7088 students; current block692-705 supplies the complete closing district total","Earlier audit and current district mapping","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District rows 692-705; src/test_summaries.py:103-117","Resolved by block-total extraction; history retained","Earlier omitted-category status does not describe current summary","Naogaon school correction history","Retain district mapping and count regression"
R26,"Historical school whitelist omitted Panchagarh rows860-861 School and College (School) with combined 11 institutions;195 teachers;6366 students; current block855-868 supplies the district total","Earlier audit and current district mapping","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District rows 855-868; src/test_summaries.py:103-117","Resolved by block-total extraction; history retained","Earlier omitted-category status does not describe current summary","Panchagarh school correction history","Retain district mapping and count regression"
R27,"Historical school national counts were below row990 by 56 institutions;818 teachers;33380 students; corrected extraction matches all six national counts","Workbook national total and current summary","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District row 990; data/school_summary.csv","Resolved; district and division totals also reconcile","Historical difference is not a teacher-vacancy estimate","School national correction history","Retain all-six-count comparisons"
R28,"Both corrected summaries contain 64 unique districts with all six counts matching selected workbook district totals; their sums match division and national totals; TSRs recompute","Current parser and 16-test data suite","src/generate_summaries.py:150-266; src/test_summaries.py:55-231","Current workbook reconciliation and regression checks pass","Workbook agreement is not independent PDF verification or evidence of institution-level staffing needs","Both current summaries","Retain uniqueness; source mappings; subsets; ratios and aggregate checks"
R29,"Schools are parsed from Junior Secondary School Private block starts to closing district totals; district names come from block starts rather than potentially wrong closing labels","Current school extraction method","src/generate_summaries.py:163-230; src/test_summaries.py:15-38; data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District","Current method; all 64 block mappings tested","Closing totals follow workbook coverage rather than an independent institution census","School extraction methodology","Re-audit changed block structure or unfamiliar labels"
R30,"School extraction validates management subtotal sequences and counts; Cox's Bazar and Magura additionally use per-type subtotal corroboration; division totals and national row990 are checked","Current school validation method","src/generate_summaries.py:195-229; src/test_summaries.py:119-126;179-184","Current method with two documented source exceptions","Known management differences are preserved and unexpected differences rejected; no invented source repair","School subtotal methodology","Compare original publication for the two source discrepancies"
R31,"Gazipur closing total row295 and Sylhet closing total row962 have shifted count columns; parser uses columns4;5;6;7;9;10 rather than5;6;7;8;10;11","Current column detection and regression tests","src/generate_summaries.py:45-47;176-186; src/test_summaries.py:80-117; data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District rows 295;962","Resolved; explicit shifted-total handling tested","Handling is tied to the observed block-closing structure","School shifted-total methodology","Reject unfamiliar layouts and re-audit changed inputs"
R32,"Colleges use one appended district total where level;management;area all equal Total: across rows1074-1144; division totals and national row1146 are checked","Current college extraction method","src/generate_summaries.py:233-266; src/test_summaries.py:39-46;80-89; data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District","Current method; all 64 mappings tested","Detailed rural/urban groups and malformed source details are not summed into current district totals","College extraction methodology","Retain unique district mappings and all-six-count reconciliation"
R33,"School national counts:21232 institutions;3304 girls institutions;293289 teachers;92492 female teachers;9063422 students;4960073 girl students;TSR30.90","Workbook national row and current regression test","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District row 990; src/test_summaries.py:71-78; data/school_summary.csv","All six counts agree with district sums and workbook national total","Original PDF comparison remains outstanding","Current secondary-school national figures","Retain six-field and division checks"
R34,"College national counts:4876 institutions;792 girls institutions;132789 teachers;37252 female teachers;4926266 students;2537998 girl students;TSR37.10","Workbook national row and current regression test","data/BANBEIS_2024_District_Education_Stats.xlsx | College_By_District row 1146; src/test_summaries.py:71-78; data/college_summary.csv","All six counts agree with district sums and workbook national total","Original PDF comparison remains outstanding","Current college national figures","Retain six-field and division checks"
R35,"Cox's Bazar school closing total and type subtotals:240 institutions;26 girls institutions;3065 teachers;823 female teachers;136813 students;78984 girl students; management sums:249;26;3312;898;145900;83634","Documented workbook source discrepancy","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District rows 150-162; src/generate_summaries.py:56-60;206-217; src/test_summaries.py:119-126","Remaining source discrepancy; accepted district total corroborated by type subtotals","Management subtotals disagree; source workbook not repaired; exact known difference regression-tested","Cox's Bazar school source evidence","Compare relevant publication tables without inventing a reconciliation"
R36,"Magura school closing total and type subtotals:180 institutions;38 girls institutions;2367 teachers;678 female teachers;57956 students;32688 girl students; management sums agree except58156 students","Documented workbook source discrepancy","data/BANBEIS_2024_District_Education_Stats.xlsx | Sec_School_By_District rows 530-542; src/generate_summaries.py:61-65;206-217; src/test_summaries.py:119-126","Remaining source discrepancy; accepted district total corroborated by type subtotals","Management student count differs by200; source workbook not repaired; exact known difference regression-tested","Magura school source evidence","Compare relevant publication tables without inventing a reconciliation"
